ID,YEAR,TITLE
335,2002,8 Women
336,2002,Undercover Brother
337,2002,Pinocchio
338,2002,Clockstoppers
339,2002,Van Wilder
340,2002,The Banger Sisters
341,2002,Halloween: Resurrection
342,2002,Swimfan
343,2002,Darkness
344,2002,Friday After Next
345,2002,The Crocodile Hunter: Collision Course
346,2002,Confessions of a Dangerous Mind
347,2002,Adaptation.
348,2002,Hart's War
349,2002,Blood Work
350,2002,The New Guy
351,2002,City of God
352,2002,Solaris
353,2002,The Four Feathers
354,2002,City by the Sea
355,2002,Christmas on the Nile
356,2002,Far from Heaven
357,2002,Family Honor
358,2002,Brown Sugar
359,2002,The Spanish Apartment
360,2003,The Lord of the Rings: The Return of the King
361,2003,Finding Nemo
362,2003,The Matrix Reloaded
363,2003,Pirates of the Caribbean: The Curse of the Black Pearl
364,2003,Bruce Almighty
365,2003,The Last Samurai
366,2003,Terminator 3: Rise of the Machines
367,2003,The Matrix Revolutions
368,2003,X2: X-Men United
369,2003,Bad Boys II
370,2003,Something's Gotta Give
371,2003,Charlie's Angels: Full Throttle
372,2003,The Village
373,2003,Brother Bear
374,2003,Hulk
375,2003,Love Actually
376,2003,2 Fast 2 Furious
377,2003,American Wedding
378,2003,Scary Movie 3
379,2003,Elf
380,2003,Master and Commander: The Far Side of the World
381,2003,S.W.A.T.
382,2003,Spy Kids 3: Game Over
383,2003,Anger Management
384,2003,Cheaper by the Dozen
385,2003,The Haunted Mansion
386,2003,Kill Bill: Vol. 1
387,2003,The League of Extraordinary Gentlemen
388,2003,Daredevil
389,2003,How to Lose a Guy in 10 Days
390,2003,The Italian Job
391,2003,Cold Mountain
392,2003,Bringing Down the House
393,2003,Daddy Day Care
394,2003,Freaky Friday
395,2003,Johnny English
396,2003,Lara Croft: Tomb Raider - The Cradle of Life
397,2003,Mystic River
398,2003,Bayside Shakedown 2
399,2003,Seabiscuit
400,2003,Gothika
401,2003,Mona Lisa Smile
402,2003,The Jungle Book 2
403,2003,The Cat in the Hat
404,2003,School of Rock
405,2003,"Legally Blonde 2: Red, White & Blonde"
406,2003,Big Fish
407,2003,Peter Pan
408,2003,Intolerable Cruelty
409,2003,Lost in Translation
410,2003,Paycheck
411,2003,Freddy vs. Jason
412,2003,The Texas Chainsaw Massacre
413,2003,Just Married
414,2003,The Recruit
415,2003,Once Upon a Time in Mexico
416,2003,Phone Booth
417,2003,Underworld
418,2003,Calendar Girls
419,2003,Final Destination 2
420,2003,Identity
421,2003,Kangaroo Jack
422,2003,Shanghai Knights
423,2003,Old School
424,2003,Tears of the Sun
425,2003,Sinbad: Legend of the Seven Seas
426,2003,The Rundown
427,2003,Runaway Jury
428,2003,Good Bye Lenin!
429,2003,Bad Santa
430,2003,Dreamcatcher
431,2003,The Core
432,2003,Holes
433,2003,Looney Tunes: Back in Action
434,2003,Open Range
435,2003,Stuck on You
436,2003,Matchstick Men
437,2003,Taxi 3
438,2003,Jeepers Creepers 2
439,2003,Piglet's Big Movie
440,2003,Honey
441,2003,21 Grams
442,2003,Under the Tuscan Sun
443,2003,Agent Cody Banks
444,2003,Monster
445,2003,Cradle 2 the Grave
